ID,Status,ZonalOffice,Company,Incident_Num,Incident_Date,Report_Date,Contained,Estimated_Quantity,Recovered,Spill_stop_date,Facility,Cause,Initial_containment_measure,Site,Latitude,Longitude,LGA,Estimated_Spill_Area,Spiill_Area_Habitat,Impact,State,,,,,,,,,,,,,,,,,,,
234396,confirmed,ph,SPDC,493549,6/30/2022,6/30/2022,no,,,7/4/2022,pl,sab,none,20’’ Kolo creek Rumuekpe Pipeline at Ihuowo,4.975057,6.61,Ahoada-East,,la,"The spill point was a drilled hole of 12mm in diameter at 12 O’clock position, and water was gushing out meaning the line had been flushed before the arrival of the Joint Investigation Team (JIT).",RI,,,,,7/4/2022,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2022-09-06 AB014
234191,confirmed,ph,SPDC,2022_492937,6/29/2022,6/30/2022,no,,,,pl,cor,,"28"" Bomu-Bonny TNP at Agba-Okwan Asarama (Freetown)",4.527564,7.241838,Bonny,,"sw,iw",A water leak point as the pipeline was undergoing flushing since February 2022.,RI,,,,,7/18/2022,"nosdra,mnstry,cmmnt,cmpny,plc,mltry,oth",,,,,,,,,,,,,2024-03-24 AB017
234180,invalid,ph,NAOC,2022/LAR/084,6/29/2022,6/29/2022,co,0.28,,7/4/2022,fl,sab,,OBIFU 8T FLOWLINE AT OBIAFU FIELD OMOKU,5.389528,6.648611,Ogba/Egbema/Ndoni,0,la,60mm hacksaw cut was observed on the facility at 5 to 7 O;clock position by unknown person(s) for oil theft activity.,RI,,,,,7/4/2022,"nosdra,mnstry,dpr,cmmnt",,,,,,,,,,,,,2022-07-29 AB008
234178,confirmed,ph,NAOC,2022/LAR/084,6/29/2022,6/29/2022,,0.28,,7/4/2022,fl,sab,none,OBIAFU 8T FLOWLINE AT OBIAFU FIELD OMOKU,5.389528,6.648611,Ogba/Egbema/Ndoni,0,la,60mm Hacksaw cut was observed on the facility at 5 to 7 O'clock position by unknown person(s) for oil theft activity.,RI,,,,,7/4/2022,"nosdra,mnstry,dpr,cmmnt",,,,9/10/2022,,,,,,,,,"2022-07-29 AB008, 2022-12-05 PH062"
234177,invalid,ph,NAOC,2022/LAR/084,6/29/2022,6/29/2022,,0.28,,7/4/2022,fl,sab,none,OBIAFU 8T FLOWLINE AT OBIAFU FIELD OMOKU,5.389528,6.648611,Ogba/Egbema/Ndoni,0,la,60mm Hacksaw cut was observed on the facility at 5 to 7 O'clock position by unknown person(s) for oil theft activity.,RI,,,,,7/4/2022,"nosdra,mnstry,dpr,cmmnt",,,,,,,,,,,,,2022-07-29 AB008
233988,confirmed,ph,NAOC,2022/LAR/081,6/29/2022,7/29/2022,cr,14.21,nil,6/30/2022,pl,sab,bw,"24"" Ogoda Brass pipeline @ oshika community, AWELGA",5.089278,6.563444,Ahoada-West,,ss,"unknown persons installed 3"" ball valve with 3"" pipe connection on the facility @ 12' 0 clock positionfor crude oil theft which impacted the area for about 8623.40msq @ Oshika community.",RI,,,,,6/30/2022,,,,,,,,,,,,,,2022-07-18 AB017
233986,confirmed,ph,NAOC,2022/LAR/082,6/29/2022,6/29/2022,cr,115.14,15,6/30/2022,pl,sab,bm,"24"" Ogoda/Brass pipeline @ Oshika community AWELGA, Rivers State.",5.084417,6.561417,Ahoada-West ',0.083,ss,"Unknown person(s) installed 3"" Ball valve @ 12 0' Clock position for crude oil theft activities which impacted 82903.11 sqm @ Oshika community. Bund wall was installed to mitigation its impact. 15 Barrels was recovered during JIV.",RI,,,,,6/30/2022,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2022-07-18 AB017
234226,confirmed,ph,SPDC,2022_486300,6/28/2022,6/28/2022,cr,,,6/30/2022,pl,sab,,20'' Kolo Creek Rumuepke Pipeline at Ihuowo Ahoada,4.975031,6.663658,Ahoada-East,,la,Non-leaking point (No crude oil being released from the spill point rather it is water coming out),RI,,,,,6/30/2022,"nosdra,mnstry,cmpny,cmmnt,plc",,,,,,,,,,,,,2024-03-24 AB017
234136,reviewed,ph,NAOC,2022/LAR/079/136,6/26/2022,6/26/2022,cr,11.14,,6/28/2022,pl,sab,tr,"18"" ebocha - ogoda pipeline at egbee community ahoada west lga rivers state",5.132889,6.573833,Ahoada-West,1925.88,la,5mm drill hole at 12 0' Clock position by unknown persons,RI,,,,,6/28/2022,"cmmnt,cmpny,nosdra,mnstry",,,,,,,,,,,,,2022-09-05 AB014
233987,confirmed,ph,NAOC,2022/LAR/080/137,6/26/2022,6/26/2022,cr,24.37,,6/28/2022,pl,sab,bw,"24"" Ogoda brass pipeline @oshika community, AWELGA. Rivers State.",5.072972,6.555944,Ahoada-West,0.024,ss,"unknown person(s) installed 2"" ball valve with 2"" pipe connection @ 12' 0 clock position for crude oil theft activities which impacted the area for about 23985.10sqm @ oshika community.",RI,,,,,6/28/2022,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,2022-07-18 AB017
