ID,Status,Zonal_Office,Company,Inceident_Num,Incident_Date,Report_dDate,Containment,Estimated_Quantity,Recovered,Spill_stop_date,Facility,Cause,Initial_containment_measure,Site,Latitude,Longitude,LGA,Estimated_Spill_Area,Spiill_Area_Habitat,Impact,State,,,,,,,,,,,,,,,,,,,
335691,confirmed,ph,NAOC,2024/LAR/NLI/063,6/28/2024,6/28/2024,no,,,,pl,sab,,"8"" OBIAFU 43 PIPELINE AT OMOKU COMMUNITY",5.383833,6.570028,Ogba/Egbema/Ndoni,,la,"2"" BALL VALVE WAS INSTALLED AT 3 O'CLOCK POSITION ON THE PIPELINE, DONE BY UNKNOWN PERSONS",RI,,,,,6/29/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-07-08 AB017
335690,confirmed,ph,NAOC,2024/LAR/NLI/064,6/28/2024,6/28/2024,no,,,,pl,sab,,"8"" OBIAFU 44 PIPELINE AT OMOKU COMMUNITY",5.383833,6.570056,Ogba/Egbema/Ndoni,,la,A BLIND FLANGE WAS INSTALLED AT 3 O'CLOCK POSITION ON THE PIPELINE,RI,,,,,6/29/2024,"nosdra,mnstry,cmpny,cmmnt",,,,,,,,,,,,,2024-07-08 AB017
333633,confirmed,ph,SPDC,3254142,6/28/2024,6/28/2024,cr,3.0000,,6/29/2024,pl,eqf,NONE,20'' KOLOCREEK- RUMUEKPE PIPELINE @ IHUOWO,4.975089,6.663569,Ahoada-East,0.3900,la,"OIL STAINED SOIL, THE IMPACT IS WITHIN AND OUTSIDE COMPANY RIGHT OF WAY",RI,,,,,6/29/2024,"nosdra,cmpny,cmmnt",,,,,,,,,10/16/2024,,,,"2024-07-08 AB017, 2024-10-23 PH116"
333636,confirmed,ph,SPDC,3254353,6/24/2024,6/24/2024,cr,3.0000,,6/27/2024,pl,sab,bw,"14"" Okordia/Rumuekpe Pipeline at Ikata",5.045070,6.588980,Ahoada-West,0.0003,ss,The incident occured within and outside the company's Right Of Way.,RI,,,,,6/27/2024,"nosdra,mnstry,cmpny,cmmnt,mltry,plc",,,,,,,,,,,,,2024-07-08 AB017
330243,confirmed,ph,SPDC,3234763,6/24/2024,6/24/2024,cr,83.0000,,6/24/2024,pl,sab,bw,"24"" OGALE-BOMU PIPELINE AT EGBALOR COMMUNITY, ELEME LGA, RIVERS STATE",4.782543,7.192499,Eleme,0.0001,la,"2"" BALL VALVE AND 2"" GALVANIZED PIPE ATTACHED TO 24"" OGALE-BOMU PIPELINE AT EGBALOR COMMUNITY, ELEME LGA, RIVERS STATE AT 12 O'CLOCK POSITION",RI,,,,,6/25/2024,"nosdra,mnstry,plc,cmpny,cmmnt,mltry",,,,,,,,,,,,,2024-07-08 AB017
330222,confirmed,ph,NAOC,2024/LAR/055,6/24/2024,6/24/2024,cr,17.2000,,6/25/2024,pl,sab,,"18"" Ebocha/Ogoda pipeline at Ubeta Community, AWELGA, Rivers State.",5.167917,6.589583,Ahoada-East,0.0034,la,crude oil impact on within and out ROW of about 3444.5square meter of land resulting from Hacksaw cut of about 140mm in diameter.,RI,,,,,6/25/2024,,,,,,,,,,,,,,"2024-06-27 PH067, 2024-07-01 PH067, 2024-07-08 AB017"
330221,confirmed,ph,NAOC,2024/LAR/NLI/062,6/24/2024,6/24/2024,,,,,pl,sab,,"18"" Ebocha/Ogoda pipeline at Obagi Commnuity ONELGA, Rivers State.",5.260583,6.612000,Ogba/Egbema/Ndoni,,,Non leak( No impact),RI,,,,,6/24/2024,"cmmnt,cmpny,mnstry,nosdra",,,,,,,,,,,,,"2024-06-27 PH067, 2024-07-08 AB017"
330194,confirmed,ph,NAOC,2024/LAR/054,6/20/2024,6/20/2024,cr,3.6000,,6/20/2024,pl,sab,,"24” Ogoda-Brass Pipeline at Oyigba Community, AWELGA, Rivers State.",5.094556,6.565500,Ahoada-West,0.0003,la,Minimal impact on ROW,RI,,,,,6/21/2024,"cmmnt,cmpny,mltry,mnstry,nosdra,plc",,,,,,,,,,,,,2024-07-08 AB017
333664,confirmed,ph,SPDC,3208876,6/18/2024,6/18/2024,co,,,,pl,sab,,12'' soku sarbarth soku river state,4.619770,6.646670,Akuku-Toru,,,4'' ball valve illegal connection on the 12 '' soku sarbarth pipeline,RI,,,,,7/29/2024,"nosdra,mnstry,cmpny,cmmnt,mltry",,,,,,,,,,,,,2024-07-08 AB017
330212,confirmed,ph,SPDC,3208265_(POINT A),6/17/2024,6/17/2024,cr,10.0000,,,pl,sab,,14'' OKORIDA - RUMUEKPE PIPELINE @ AKALA-OLU,5.115680,6.493270,Ahoada-West,0.0009,la,Hack saw cut on the pipeline by an unidentified individual.,RI,,,,,6/23/2024,"nosdra,mnstry,cmmnt,cmpny,mltry,plc",,,,,,,,,,,,,2024-07-18 AB017
